Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht,kein_nachhaltigkeitszertifikat,Produktfarbe_Rare,Ursprungsland_ Ungarn ,Ursprungsland_ China ,Ursprungsland_ Tschechische Republik ,Ursprungsland_Rare,Ursprungsland_ Dänemark ,"EU TSD Warnung_ Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",EU TSD Warnung_ Nicht für Kinder unter 36 Monaten geeignet ,EU TSD Warnung_ Nicht für Kinder unter 18 Monaten geeignet ,Verpackungsart_ Box ,Verpackungsart_ Polybag ,LegoCategory_Rare,LegoCategory_LEGO Disney ,LegoCategory_LEGO Technic ,LegoCategory_LEGO City ,LegoCategory_LEGO Duplo ,LegoCategory_LEGO Star Wars ,LegoCategory_LEGO Ninjago ,LegoCategory_LEGO Icons ,LegoCategory_LEGO Marvel ,LegoCategory_LEGO Harry Potter ,LegoCategory_LEGO Speed Champions ,LegoCategory_LEGO Architecture ,LegoCategory_LEGO Classic ,LegoCategory_LEGO Ideas ,LegoCategory_LEGO Super Mario ,LegoCategory_LEGO Friends ,LegoCategory_LEGO Creator 3in1 ,LegoCategory_LEGO Minecraft ,LegoCategory_LEGO Spider,LegoCategory_LEGO Jurassic World ,LegoCategory_LEGO Dots 
1.5,99.0,180.0,370.0,180.0,1050.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,99.0,378.0,582.0,87.0,2130.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,99.0,262.0,282.0,59.0,526.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,99.0,282.0,540.0,78.5,1860.0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,99.0,354.0,191.0,70.0,565.0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,99.0,382.0,262.0,118.0,1270.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,99.0,262.0,382.0,70.5,710.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,99.0,262.0,382.0,70.5,880.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,99.0,282.0,480.0,118.0,1830.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,99.0,382.0,262.0,56.5,615.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,99.0,378.0,582.0,87.0,2270.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,99.0,282.0,480.0,91.0,1620.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,99.0,262.0,382.0,118.0,1480.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,99.0,582.0,378.0,103.0,2420.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,99.0,378.0,354.0,70.5,1160.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,99.0,262.0,282.0,95.5,593.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,99.0,141.0,262.0,61.0,257.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,99.0,191.0,262.0,46.0,304.0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,99.0,282.0,480.0,118.0,1740.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,99.0,378.0,582.0,118.0,3270.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,99.0,378.0,582.0,103.0,2780.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,99.0,282.0,480.0,91.0,1440.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,99.0,378.0,354.0,94.0,1400.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
